Nhưng giờ chúng ta đang nói về lễ cưới của cậu đó, Noc.        But this is your wedding we're talking about, Noc.
Trước khi nhận nhiệm vụ tại Hà Nội, bà Kwakwa là giám đốc quốc gia tại Rwanda. Tại đó bà đã cùng với chính phủ xây dựng và thí điểm thực hiện các chương trình an sinh xã hội, cấp vốn y tế và nâng cao năng suất ngành nông nghiệp.        Before moving to Hanoi, Kwakwa was the Country Manager for Rwanda, where she worked with the government to design and pilot programs in social protection, health financing and agriculture productivity.
Qua lời nói tôn trọng và tử tế này, ngài không chỉ nhìn nhận vị trí của bà trong xã hội mà còn công nhận đức tin lớn của bà.—Lu-ca 19:9; Ga-la-ti 3:7.        (Luke 13:10-16) By using this respectful and kind expression, he not only regarded her as a full-fledged member of society but also recognized her great faith. —Luke 19:9; Galatians 3:7.
Nhưng nếu một người đàn bà bị sẩy thai, một số truyền thống của Phi Châu buộc người ta phải đối xử với bà trong một thời gian như là một người bị xã hội ruồng bỏ.        (Romans 3:23) But if a woman miscarries, some African traditions demand that she be treated as an outcast for a period of time.
"Đó là," bà ấy nói, "giúp tạo ra một thế giới xã hội và tìm ra một chỗ tin cậy ở đấy."        "It is," she said, "to help create the social world and find a credible place in it."
Bà phải có tiền bảo hiểm xã hội cộng với khoản lương hưu ta nhắc tới.        You should have social security cheques plus that pension we talked about.
Và ông ấy cho rằng tư tưởng này, với nguyên lý phát hiện bởi Bentham, chính là cách thức kiểm soát xã hội chủ yếu dành cho các xã hội phương Tây hiện đại, khi mà không cần đến các vũ khí công khai của chế độ độc tài - bằng trừng phạt, giam giữ hay thủ tiêu các phần tử chống đối, hay dùng luật pháp để khuất phục một đảng phái - bởi vì giám sát toàn diện tạo nên một nhà tù trong tinh thần điều này trở nên khôn khéo hơn mà lại mang đến hiệu quả tốt hơn việc tăng cường tuân thủ các quy tắc xã hội hoặc đối với chuẩn mực xã hội, có hiệu quả hơn nhiều so với việc sử dụng vũ lực.        And what he said was that this mindset, this framework discovered by Bentham, was the key means of societal control for modern, Western societies, which no longer need the overt weapons of tyranny — punishing or imprisoning or killing dissidents, or legally compelling loyalty to a particular party — because mass surveillance creates a prison in the mind that is a much more subtle though much more effective means of fostering compliance with social norms or with social orthodoxy, much more effective than brute force could ever be.
Cuối cùng, khi bà thấy người chồng thích hoạt động và khỏe mạnh trước kia của bà bị chứng bệnh đau đớn, ghê tởm, dường như bà quên đi yếu tố quan trọng khiến cho mọi thảm họa của bà không còn to lớn nữa. Đó là mối liên lạc mà bà và chồng bà có với Đức Chúa Trời.        Finally, as she saw her once active and vigorous husband afflicted with a painful, loathsome disease, she appears to have lost sight of the vital factor that overshadowed all the tragedies —the relationship that she and her husband had with God.
Và những lần khác bà có thể không đủ nhanh, vì thế bà cứ chạy, cứ chạy và chạy, nhưng bà không về kịp đến nhà, bài thơ đến và bà để tuột mất nó và bà nói nó sẽ tiếp tục bay qua không gian như thế, để tìm kiếm, theo lời bà, là " những nhà thơ khác. "        And other times she wouldn't be fast enough, so she'd be running and running, and she wouldn't get to the house and the poem would barrel through her and she would miss it and she said it would continue on across the landscape, looking, as she put it " for another poet. "
2 Nhiều nhà tâm lý học về con trẻ cho rằng: “Chớ động đến con trẻ”; một người còn nói: “Hỡi các bà mẹ, các bà có nhận thấy rằng mỗi khi bà đánh đòn con bà là bà chứng tỏ bà ghét nó không?”        2 Many child psychologists put a “hands off” sign on children, as did one who said: “Do you mothers realize that every time you spank your child you show that you are hating your child?”
Bà Nghĩa cho biết rằng chỉ một vài năm trước đây, chị Lò Thị Me thậm chí đã không được chồng cho phép đi ra khỏi xã hay có bất cứ tiếng nói nào trong các vấn đề gia đình.        Nghia explained that only a few years ago, Lo Thi Me was not even allowed by her husband to venture outside of their commune or to have any say at all in family matters.
Bà quả quyết rằng nhiều người trẻ ngày nay thậm chí còn nghi ngờ không biết có điều gì là phải hay trái, và bà nghĩ rằng thái độ này là một trong những mối đe dọa lớn nhất đối với xã hội.        She claims that many young people today actually question whether there is a right or a wrong, and she feels that this attitude poses one of the greatest threats to society.
Bà Trần Thị Dương, chủ tịch Hội phụ nữ xã Duy Phú tại Quảng Nam, một tỉnh miền Trung Việt Nam nhớ lại một số người đã nói như vậy khi bà đề cập vấn đề này với họ.        Tran Thi Duong, chairperson of the Women’s Union of Duy Phu commune in Vietnam’s central Quang Nam province, recalled the question a fellow villager posed when she raised the topic.
Băng đảng xã hội đen đã xâm nhập vào nhà và gọi bà là đồ phản bội và dọa sẽ hành hung bà.        Mobs have entered her home to call her a traitor and a prostitute and threatened to beat her.
4 Trong cuốn “Tha thứ—nhưng không quên” (Forgive—But Do Not Forget), bà Sylvia Salvesen nói về các nữ Nhân-chứng Giê-hô-va bị tù chung với bà trong trại tập trung Đức Quốc xã: “Hai người này, Käthe và Margarethe, và nhiều người khác, giúp đỡ tôi rất nhiều, không những qua đức tin của họ nhưng trong các vấn đề thực tế nữa.        4 In her book Forgive —But Do Not Forget, author Sylvia Salvesen said of women Witnesses who were her fellow inmates in a Nazi concentration camp: “Those two, Käthe and Margarethe, and many others, helped me a lot, not only by their faith but in practical matters.
Số phận và xã hội không bắt hắn trói bà ta, nã súng vào mặt bà rồi cướp đi tài sản.        Neither fate nor society told him to tie her up, shove a gun in her face and steal her belongings.
Trong nhiều năm tháng, tôi cũng đã nhìn thấy cách bà đã được củng cố để chịu đựng sự nhạo báng và khinh miệt đến từ một xã hội của thế gian khi một phụ nữ Thánh Hữu Ngày Sau lưu tâm đến lời khuyên của vị tiên tri và đặt gia đình cùng việc nuôi dưỡng con cái thành ưu tiên cao nhất của mình.        Over the years I have also watched how she has been magnified to handle the mocking and scorn that come from a secular society when a Latter-day Saint woman heeds prophetic counsel and makes the family and the nurturing of children her highest priorities.
Anh không cần chỗ để phịt xã giao với bà già à?        Don't you need the place to have sex with your old lady?
Bà xã, bà xã, có phải là em không?        Is that you, hon?
Câu trả lời của bà cho thấy tình cảnh tuyệt vọng của bà khi bà giải thích rằng bà đang sửa soạn bữa ăn ít ỏi cuối cùng cho con trai bà và cho bà, và rồi họ sẽ chết.        Her response described her desperate situation as she explained that she was preparing a final and scanty meal for her son and for herself, and then they would die.
Bà có thể đã kèm vào các đoạn văn đầy cảm xúc với hy vọng giúp tác phẩm của bà phù hợp hơn với một xã hội tin rằng phụ nữ không nên viết về chiến trận và đế chế.        She may have included these emotional passages in hopes that they would make her writing more palatable to a society that believed women shouldn't write about battles and empires.
Chừng một giờ sau khi bà về nhà, sau khi tôi cho bà về nhà, bà quỵ ngã và gia đình bà gọi cấp cứu và mọi người đưa bà quay lại phòng cấp cứu và huyết áp bà chỉ là 50, trong ngưỡng sốc nghiêm trọng.        About an hour after she had arrived home, after I'd sent her home, she collapsed and her family called 911 and the paramedics brought her back to the emergency department where she had a blood pressure of 50, which is in severe shock.
Nhưng vì bà có cơ hội ở nơi chợ, và bà ấy sống trong một xã hội cung cấp sự an toàn cho việc đến gần với khả năng được giáo dục và an toàn y tế con của bà và của họ được sống cuộc sống có mục đích có thật và theo đuổi những ước mơ có thật.        But because she had the opportunity of the marketplace, and she lived in a society that provided the safety of having access to affordable health and education, her children and their children were able to live lives of real purpose and follow real dreams.
Chẳng hạn, bà Lydia* khám phá ra rằng Stasi, tức Cơ Quan An Ninh Quốc Gia, đã lập một hồ sơ về những hoạt động riêng tư của bà trong thời chế độ Xã Hội Chủ Nghĩa ở Đông Đức.        For instance, Lydia* discovered that during the Socialist regime in East Germany, the Stasi, or State Security Service, had compiled a file on her private activities.
Bà muốn chống lại các tiêu chuẩn của xã hội, một phần là vì bà thấy sự giả hình của nó.        She had wanted to rebel against accepted standards of conduct partly because of the hypocrisy she saw in society.
Thường xuyên nói “chúng tôi” và những câu như “vợ chồng tôi”, “bà xã và tôi” hay “ông xã và tôi”.        Frequently talk about “we,” and use phrases such as “my wife and I” or “my husband and I.”
Nếu bạn đang tạo bộ lọc tùy chỉnh sử dụng bất kỳ thứ nguyên Xã hội nào (Mạng xã hội, Hành động trên mạng xã hội, Mục tiêu hành động trên mạng xã hội), hãy lưu ý rằng các thứ nguyên này chỉ áp dụng cho Các tương tác trên mạng xã hội (dữ liệu lượt truy cập trên mạng xã hội).        If you create a custom filter that uses any of the Social dimensions (Social Network, Social Action, Social Action Target), keep in mind that these dimensions apply only to Social interactions (social-hit data).
Vào một dịp nọ, một cựu lính canh Đức Quốc Xã, ông là một trong những người gây ra nỗi đau khổ của Corrie ở Ravensbruck, Đức, đã đến gần bà, vui mừng trước sứ điệp của bà về sự tha thứ và tình yêu thương của Đấng Ky Tô.        On one occasion a former Nazi guard who had been part of Corrie’s own grievous confinement in Ravensbrück, Germany, approached her, rejoicing at her message of Christ’s forgiveness and love.
Bà xã, em đi mua mồi câu.        Boss, you run and get some liver.
Nó [đứa con trai này] sẽ an-ủi lòng bà, dưỡng già bà; vì ấy là dâu bà vẫn thương bà, đã sanh nó cho bà; nàng quí cho bà hơn bảy con trai”.        He has become a restorer of your soul and one to nourish your old age, because your daughter-in-law who does love you, who is better to you than seven sons, has given birth to him.”
Tôi có thể hình dung các bà có thể chơi trò chơi xã hội với đám cháu gái và bạn bè của chúng, và có thể chia sẻ tất cả các hoạt động khác nhau quanh nhà, giống như kể chuyện đêm khuya.        I could imagine grandmothers being able to do social- plays with their granddaughters, with their friends, and to be able to share all kinds of other activities around the house, like sharing a bedtime story.
16 Trong xã hội Do-thái thời đó dưới sự chủ quyền của người đàn ông, Giê-su tỏ ra là thầy dạy khác thường khi ngài sẵn sàng nói chuyện với đàn bà, ngay đến những đàn bà không phải người Do-thái (Giăng 4:7-30).        16 In that male-dominated Jewish society, Jesus was an unusual teacher in that he was willing to talk to women, even non-Jewish women.
Chỉ một cú tát!        One clean slap!
Kenton điểu khiển robot tung 1 cú đấm thẳng vào mặt nhà vô địch!        Kenton working his bot with a trifecta of straight rights to the champ's dome!
Google hỗ trợ cú pháp sơ đồ trang web mở rộng cho các loại phương tiện truyền thông sau.        Google supports extended sitemap syntax for the following media types.
Cháu cảm thấy cú đó đau đấy        I felt that one!
Digger, hai con cú tí hon này là ai và sao chúng lại nói chuyện với bữa tối?        Digger, who are these tiny owls and why are they talking to dinner?
Rồi ổng sẽ vượt qua cú sốc.        Then he'll get over the shock.
À, nếu các người có đi ngang lần nữa, cú việc ghé vô.        Well, if you're dropping by again, do pop in.
Đó là một cú khá hay.        It was a pretty good shot.
Ulf mê diễn kịch câm, còn bánh nướng của Attila thì tuyệt cú mèo!        * Ulf is into mime, Attila's cupcakes are sublime. *
Dì có thấy cú đó không?        Did you see that?
Mọi cú điện thoại hắn gọi đều là điện thoại đường dài, đúng không?        All the telephone calls he made were long distance, alright?
Cú sốc đầu tiên đau như trời giáng.        The first shock hurts like hell.
Tôi không nghĩ thế Anh đã đánh cậu ta 1 cú khá mạnh.        I don't think I hit him hard enough.
Có một thứ được gọi là cú trượt đỉnh cao.        There's something called a Primo slide.
Hai loại thuốc này, tiêm vào chưa đầy hai phút sau khi anh chết, kèm theo cú đánh đột ngột từ nắm đấm của tôi vô ngực anh, sẽ khởi động lại trái tim.        These two drugs administered within two minutes after your death, along with a sharp blow to your chest with my fist, will restart the heart.
Tôi là cú đêm mà.        I'm like an owl.
Có thấy cú đó không?        Did you see that?
Lúc này có thể tớ sẽ ăn một cú bạt tai vào một bên mặt... và có thể chảy máu tai.        That one would've been a backhand to the side of the head and possible bleeding from the ear.
Và vì vậy nó là một cú sốc lớn với tất cả chúng tôi khi bộ phim thực sự đã thu hút được công chúng, và hôm nay được đưa vào chương trình xem phim bắt buộc ở Anh và Scotland, và hầu hết Scandinavia.        And so it was a great shock to all of us when the film really captured the public interest, and today is mandatory viewing in schools in England and Scotland, and most of Scandinavia.
Hỗ trợ chiếu sáng cú pháp XML của KWrite        KWrite XML Syntax highlighting support
Cú đó là vì sao?        What was that for?
Tất cả những gì họ cần làm& lt; br / & gt; chỉ là một cú click chuột.        All they needed was a single claim of copyright infringement.
Đối với André, đây là một cú sốc đau đớn mà anh nghĩ mình sẽ không bao giờ vượt qua.        For André, it was a terrible blow, and it left a void that he feels will never be completely filled.
Chắc vẫn còn cú vì trận đòn hôm qua đấy.        Must still be mad about the beating you gave him.
Chuyện này có thể là một cú sốc cho ngươi, Johns... nhưng ta không hoá kiếp cho con trai ngươi.        This may come as a shock to you, Johns, but I didn't ghost your son.
Tựa phim " High Kick ! " có nhiều hàm ý , một trong đó là sự miêu tả cú đá cao của ho , một trong các nhân vật chính .        The title of the show " High Kick ! " has several implications , one of which is the depicted high kicks of ho , one of the main characters .
Đôi khi chúng ta có thể cần có một cú sốc để đẩy chúng ta đến việc thay đổi.        Sometimes we may need a jolt to propel us into changing.
Nếu thứ đó đi lên não có thể giải thích chứng mất ngôn ngữ và cú ngã.        If it went to his brain, it could explain the aphasia and the falling down.
Tôi không biết là Pudge có một cú đánh chạy vòng như thế đấy.        I didn't know Pudge was gonna hit a home run.
Nhiều năm về sau, tôi nhận được một cú điện thoại tương tự lúc đêm khuya trong một khách sạn ở Nhật Bản.        Years later I received a similar call late at night in a hotel in Japan.
Micky Ward tung một cú móc trái vào phía trên.        My, is it tough for Micky Ward.
Nhưng những gì bạn sẽ thấy là, bây giờ nó nhận cú đẩy từ phía bên trái.        But what you'll see is -- it's going to receive a push now from the left.
Không một cú phone.        It's called a phone call.
Và tin tôi đi, tôi vô cùng biết ơn khi được trở thành con người đó. bởi vì quyển sách "Ăn, Cầu nguyện, Yêu" là cú đột phá.        And believe me, I'm extremely grateful to be that person, because that whole "Eat, Pray, Love" thing was a huge break for me.
Tôi đã chờ suốt cuộc đời để làm một cú như vầy và tôi sẽ không chia chút nào cho bất cứ ai.        I've waited all my life to make a killing like this... and I'm not giving half my share to anybody.
Một con cú thứ hai nãy giờ đứng quan sát nhưng bây giờ nó tiến đến để thách đấu        A second owl is watching but now makes a challenge
Hắn thực hiện một cú rope-a-dope!        He's doing a rope-a-dope!
Những cú va chạm khiến nước phía dưới chuyển động dữ dội, một chiến thuật mới.        Sideswipes create violent underwater turbulence, a new tactic.
Còn những chú bướm cú màu xỉn thì mang các đốm hình mắt cú, làm nổi bật lên bộ cánh màu nâu của chúng.        The dull owl butterflies have huge owllike eyespots to brighten up their brown attire.
Cú pháp        Syntax
Tôi có thể chấm dứt sự nghiệp của cậu bằng một cú điện.        I could finish your career with one phone call.
Đó là một cuộc khảo sát trong 150,000 phụ nữ ở California, và họ sẽ trả lại tất cả dữ liệu cho người tham gia khảo sát dưới dạng toán học, chỉ cần một cú đúp chuột để xem cuộc khảo sát mà chúng tôi đã thực hiện cùng chúng.        It's a study of 150,000 women in California, and they're going to return all the data to the participants of the study in a computable form, with one-clickability to load it into the study that I've put together.
Và tôi bắt kịp họ ngay lập tức vì thế nếu bóng sượt qua, tôi có thể xoay trở lại vị trí và sẵn sàng cho cú ghi điểm.        And I picked them up quicker, so that if the ball was passed, I could reposition myself and be ready for that shot.
Để có một cú gõ tốt, để nó thẳng, rồi đập mạnh.        A good whack with the mallet.
Tôi đã mượn bộ đồ này từ thằng cháu tôi nhưng tôi chắc cú với cô luôn, những gì bên dưới đúng là của một người đàn ông.        I may have borrowed this from my nephew but let me assure you, what's underneath is all man.
Họ đang cố làm đối thủ bị thương với từng cú đấm.        They are trying to hurt each other with only punches.
Đó là một cú sốc        Of course.
Sao hắn không cắn lại 1 cú nào?        Why hasn't he struck back?
Nhưng chắc cổ đã hồi phục sau cú sốc đêm hôm đó, Bởi vì cổ đã tìm được một việc làm mới.        But she must have recovered from the shock that night, because she has found a new job
Khí hậu ở đó cũng là một cú sốc.        The climate was also quite a shock.
Họ sẽ làm việc trên bộ gen của loài bồ câu viễn khách và bồ câu đuôi quạt.        They're going to work on the genomes of the passenger pigeon and the band-tailed pigeon.
Như vậy, có những gen đuôi ngắn trong loài bồ câu đuôi quạt, những gen đuôi dài ở chim bồ câu hành khách, và tương tự như vậy với mắt đỏ, lông ngực hồng đào, màu lông...        So there's genes for the short tail in the band- tailed pigeon, genes for the long tail in the passenger pigeon, and so on with the red eye, peach- colored breast, flocking, and so on.
Thông qua 1 chuỗi các sự kiện: anh ấy sẽ đặt các gen của bồ câu đuôi quạt và bồ câu viễn khách vào cùng nhau, và anh ấy sẽ sử dụng các công nghệ của giáo sư George Church và nhận được DNA chim bồ câu viễn khách, sử dụng công nghệ của Robert Lanza và Michael McGrew, để đưa DNA này vào tuyến sinh dục gà, và qua đó có được trứng và chim bồ câu viễn khách non, và bây giờ bạn đã có một đàn chim bồ câu viễn khách.        The sequence of events: he'll put together the genomes of the band- tailed pigeon and the passenger pigeon, he'll take the techniques of George Church and get passenger pigeon DNA, the techniques of Robert Lanza and Michael McGrew, get that DNA into chicken gonads, and out of the chicken gonads get passenger pigeon eggs, squabs, and now you're getting a population of passenger pigeons.
Joseph Smith đã giảng dạy rằng dấu hiệu chim bồ câu đã được thiết lập ra trước khi thế gian được sáng tạo để làm một bằng chứng cho Đức Thánh Linh; vậy nên, quỷ dữ không thể hiện đến bằng dấu hiệu chim bồ câu được.        Joseph Smith taught that the sign of the dove was instituted before the creation of the world as a witness for the Holy Ghost; therefore, the devil cannot come in the sign of a dove.
Ta làm tổn thương ngưởi hả con bồ câu bé nhỏ        Have I shocked you, little dove?
Điều này đặt ra câu hỏi, nếu không có bồ câu viễn khách bố mẹ để dạy chúng cách trở thành một con bồ câu viễn khách.        It does raise the question of, they're not going to have passenger pigeon parents to teach them how to be a passenger pigeon.
Sansa, tới đây, con chim bồ câu bé nhỏ.        Sansa, come here, little dove.
Ngủ ngon con bồ câu bé nhỏ của anh.        Good night... my little dove.
Chỉ một vài thay đổi nhỏ biến chúng thành bồ câu đuôi quạt.        There's just some bits that are band- tailed pigeon.
Dấu hiệu của con chim bồ câu đã được quy định trước khi sáng thế, một sự làm chứng cho Đức Thánh Linh, và quỷ dữ không thể hiện đến trong dấu hiệu của một con chim bồ câu.        The sign of the dove was instituted before the creation of the world, a witness for the Holy Ghost, and the devil cannot come in the sign of a dove.
Một số nhỏ như là chim bồ câu, và một số có kích thước của một chiếc xe buýt.        Some were as small as pigeons, and some were the size of a school bus.
Chỉ một vài thay đổi nhỏ biến chúng thành bồ câu đuôi quạt.        There's just some bits that are band-tailed pigeon.
Đức Thánh Linh không tự hạn chế trong hình dạng của con chim bồ câu, nhưng dấu hiệu của con chim bồ câu.        It does not confine itself to the form of the dove, but in sign of the dove.
Chúng tôi sẽ nhận sự giúp đỡ từ Bob Lanza và Mike McGrew để cấy tế bào mầm vào những con gà để sinh ra những con bồ câu viễn khách non được nuôi dưỡng bởi bố mẹ là những con bồ câu đuôi quạt, và từ đó trở đi, những con bồ câu viễn khách sẽ bay lượn trên tất cả mọi nẻo đường, có thể trong sáu triệu năm tới.        We'll get help from Bob Lanza and Mike McGrew to get that into germ plasm that can go into chickens that can produce passenger pigeon squabs that can be raised by band- tailed pigeon parents, and then from then on, it's passenger pigeons all the way, maybe for the next six million years.
Ngày nay mặc dù trên hầu hết bàn ăn người ta thay thế thịt chim bồ câu bằng thịt gà, người ta vẫn còn thấy những chuồng chim bồ câu kiểu xưa.        Although chickens have now replaced pigeons as sources of meat on most tables, some ancient dovecotes can still be encountered.
Thay vì đem một chiên con làm của-lễ thiêu và một bồ câu con hoặc một cu con làm của-lễ chuộc tội, họ đã đem “một cặp chim cu, hoặc chim bồ-câu con”.        Instead of bringing a young ram as a burnt offering and a young pigeon or a turtledove as a sin offering, they brought either “a pair of turtledoves or two young pigeons.”
Thông qua 1 chuỗi các sự kiện: anh ấy sẽ đặt các gen của bồ câu đuôi quạt và bồ câu viễn khách vào cùng nhau, và anh ấy sẽ sử dụng các công nghệ của giáo sư George Church và nhận được DNA chim bồ câu viễn khách, sử dụng công nghệ của Robert Lanza và Michael McGrew, để đưa DNA này vào tuyến sinh dục gà, và qua đó có được trứng và chim bồ câu viễn khách non, và bây giờ bạn đã có một đàn chim bồ câu viễn khách.        The sequence of events: he'll put together the genomes of the band-tailed pigeon and the passenger pigeon, he'll take the techniques of George Church and get passenger pigeon DNA, the techniques of Robert Lanza and Michael McGrew, get that DNA into chicken gonads, and out of the chicken gonads get passenger pigeon eggs, squabs, and now you're getting a population of passenger pigeons.
Khi Nô-ê thả con bồ câu ra tuần sau đó, nó đã không trở về, cho thấy có nhiều thực vật hơn và chỗ đậu cho bồ câu.—Sáng-thế Ký 8:12.        When Noah released the dove a week later, it did not return, indicating a greater abundance of vegetation and potential resting places for the dove. —Genesis 8:12.
Đức Thánh Linh không thể biến hóa thành một con chim bồ câu; mà là dấu hiệu của một con chim bồ câu đã được ban cho Giăng để báo cho biết sự thật của phép báp têm của Đấng Ky Tô, vì con chim bồ câu là một biểu tượng hoặc bằng chứng về lẽ thật và sự vô tội.        The Holy Ghost cannot be transformed into a dove; but the sign of a dove was given to John to signify the truth of the deed, as the dove is an emblem or token of truth and innocence.
Vì vậy, anh ấy và Ryan đã tổ chức một buổi hội thảo tại Viện nghiên cứu Wyss, Havard nhằm hội tụ các chuyên gia về bồ câu viễn khách, các nhà bảo tồn điểu cầm học, các nhà đạo đức sinh học và thật may mắn, DNA của loài bồ câu viễn khách đã được giải mã bởi một nhà sinh học phân tử tên là Beth Shapiro.        So he and Ryan organized and hosted a meeting at the Wyss Institute in Harvard bringing together specialists on passenger pigeons, conservation ornithologists, bioethicists, and fortunately passenger pigeon DNA had already been sequenced by a molecular biologist named Beth Shapiro.
Đây là trò lừa cổ điển được gọi tên là trò bồ câu nhả thư, và tôi chính là con bồ câu.        So this is a classic con called the pigeon drop, and I was the pigeon.
Về di truyền, chim bồ câu đuôi quạt thực sự là loài giống bồ câu viễn khách nhất còn tồn tại.        Genetically, the band-tailed pigeon already is mostly living passenger pigeon.
Chúng tôi sẽ nhận sự giúp đỡ từ Bob Lanza và Mike McGrew để cấy tế bào mầm vào những con gà để sinh ra những con bồ câu viễn khách non được nuôi dưỡng bởi bố mẹ là những con bồ câu đuôi quạt, và từ đó trở đi, những con bồ câu viễn khách sẽ bay lượn trên tất cả mọi nẻo đường, có thể trong sáu triệu năm tới.        We'll get help from Bob Lanza and Mike McGrew to get that into germ plasm that can go into chickens that can produce passenger pigeon squabs that can be raised by band-tailed pigeon parents, and then from then on, it's passenger pigeons all the way, maybe for the next six million years.
Vậy đáp án là thỏa thuận xem dù là ai nói trước cũng sẽ nói "đen" khi anh ta thấy tổng số mũ đen là số lẻ và "trắng" nếu anh ta thấy tổng số mũ đen là số chẵn.        So the solution is to agree that whoever goes first will, for example, say "black" if he sees an odd number of black hats and "white" if he sees an even number of black hats.
Là một phần trong chương trình Mùa hè Tự do, Ủy ban Phối hợp Bất bạo động Sinh viên, Ủy ban Điều phối Sinh viên Quốc gia đang tuyển và đào tạo sinh viên da trắng và da đen từ miền Bắc và đưa họ tới Mississippi để hỗ trợ người da đen đăng ký.        As part of Freedom Summer, the Student Nonviolent Coordinating Committee, or SNCC, is recruiting and training black and white college students from the North and bussing them into Mississippi to register black voters.
Ngay cả khi Scarlett Johansson, một trong những diễn viên nữ nổi tiếng nhất nước Mỹ, thủ vai Góa Phụ Đen, và Góa Phụ Đen là ngôi sao của không phải một, không phải hai, mà là năm bộ phim khác nhau của Marvel, thì cũng không có một chút mặt hàng nào liên quan đến Góa Phụ Đen.        Even though Scarlett Johansson, who is one of the most popular actresses in America, plays Black Widow, and Black Widow is the star of not one, not two, but five different Marvel movies, there is not a single piece of Black Widow merchandise available.
Gương mặt nhỏ nhắn đen đúa bình dị đó và đôi mắt to đen đó dường như muốn hỏi: “Tại sao?”        That sober little black face and those big black eyes seemed to ask, “Why?”
Những Lỗ Đen nhỏ hơn, được gọi là Lỗ Đen Ngôi Sao, có khối lượng gấp 100 lần Mặt Trời của chúng ta.        The smaller ones, called stellar mass black holes, have a mass up to 100 times larger than that of our sun.
Về chính sách xem người da trắng là thượng đẳng, tổng thống da đen đầu tiên của Nam Phi là ông Nelson Mandela nhận xét: “Chính sách đó đã được Giáo hội Canh tân Hà Lan tán thành. Giáo hội này đã tạo cơ sở cho chế độ apartheid bằng cách ngụ ý rằng người Afrikaner (người Nam Phi da trắng) được Đức Chúa Trời chọn, còn người da đen là loài thấp kém.        Regarding the government’s policy of white supremacy, Nelson Mandela, who became the first black president of South Africa, asserted: “The policy was supported by the Dutch Reformed Church, which furnished apartheid with its religious underpinnings by suggesting that Afrikaners were God’s chosen people and that blacks were a subservient species.
Khi mọi người được chiếu hình ảnh của người da đen và da trắng, chúng ta lẹ làng mà liên kết hình ảnh đó với một từ tốt đẹp, người da trắng với một từ như vậy, so với lúc chúng ta cố gắng kết nối từ tốt đẹp với một gương mặt da đen, và ngược lại.        When people are shown images of black men and white men, we are more quickly able to associate that picture with a positive word, that white person with a positive word, than we are when we are trying to associate positive with a black face, and vice versa.
Một con gà đen mà quản trị không thể nắm bắt, đen như đêm và như im lặng, thậm chí không croaking, đang chờ Reynard, vẫn còn đi ngủ trên kế tiếp căn hộ.        One black chicken which the administrator could not catch, black as night and as silent, not even croaking, awaiting Reynard, still went to roost in the next apartment.
Đây là người da đen tiêu diệt người da đen đấy.        This is fuckin'black-on-black violence.
Tôi chỉ giữ 2 đứa đen thui và quá xá đen cho đủ chỉ tiêu thôi.        I just keep dark and darker to fill out the quota.
Và sau đó chúng ta có thể thấy quá trình tự liên kết của những giọt dầu này lại lần nữa như chúng ta thấy vừa nãy, và những đốm đen ở trong đó tượng trưng thứ hắc ín màu đen này -- thứ hắc ín hữu cơ màu đen rất phức tạp, đa dạng này.        So we're able to then see the self-assembly of these oil droplet bodies again that we've seen previously, and the black spots inside of there represent this kind of black tar -- this diverse, very complex, organic black tar.
Tưởng tượng một hố đen nhẹ hơn rơi vào một hố đen nặng hơn.        Imagine a lighter black hole falling into a very heavy black hole.
Tên “Ê-đen” có nghĩa là “Lạc thú”, và vì vậy mà vườn Ê-đen thuở xưa là một công viên rộng lớn đầy lạc thú với nhiều đặc điểm xinh đẹp khác nhau.        (Genesis 2:7, 8) The name “Eden” means “Pleasure,” and thus the garden of Eden was a spacious park of pleasure, with many and varied beautiful features.
Tôi là một đứa con lai trắng đen đầy ngờ vực có nghĩa là tôi quá đen để làm người da trắng và quá trắng để làm điều ngược lại.        I'm a suspicious mulatto, which means I'm too black to be white and too white to be doing it right.
Đen trắng lọc đỏ: mô phỏng sự phơi nắng mảnh thuốc đen trắng dùng bộ lọc màu đỏ. Dùng tính năng này thì tạo hiệu ứng bầu trời kịch và mô phỏng cảnh dưới ánh trăng trong ngày        Black & White with Red Filter: Simulate black and white film exposure using a red filter. This creates dramatic sky effects, and simulates moonlight scenes in the daytime
« Chế độ in dễ » Nếu chọn, bản in của tài liệu HTML sẽ có chỉ màu đen trắng, và toàn bộ nền có màu sắc sẽ được chuyển đổi sang màu trắng. Việc in sẽ chạy nhanh hơn, và ăn mực hay mực sắc điệu ít hơn. Con nếu không chọn, bản in của tài liệu HTML sẽ hiển thị thiết lập màu sắc của ứng dụng này. Thiết lập có thể xuất vùng màu sắc toàn trang (hoặc mức xám, nếu bạn sử dụng máy in đen trắng). Việc in có thể chạy chậm hơn, và chắc sẽ ăn mực hay mực sắc điệu nhiều hơn        'Printerfriendly mode ' If this checkbox is enabled, the printout of the HTML document will be black and white only, and all colored background will be converted into white. Printout will be faster and use less ink or toner. If this checkbox is disabled, the printout of the HTML document will happen in the original color settings as you see in your application. This may result in areas of full-page color (or grayscale, if you use a black+white printer). Printout will possibly happen slower and will certainly use much more toner or ink
